word;emotion
abandon ;fear
ability ;joy
able ;joy
above ;positive
abroad ;fear
absence ;negative
absent ;negative
absolute ;trust
abstract anger;anger
abuse anger;anger
abusive anger;anger
academic disgust;disgust
accede surprise;surprise
accept positive;positive
acceptable positive;positive
acceptance joy;joy
access joy;joy
accident fear;fear
accolade negative;negative
accompany positive;positive
accomplish positive;positive
accord trust;trust
account trust;trust
accountant trust;trust
accurate trust;trust
accuse negative;negative
ache sadness;sadness
baby joy;joy
back fear;fear
backboard surprise;surprise
background surprise;surprise
backhand positive;positive
backup positive;positive
backward trust;trust
bacterium fear;fear
bad sadness;sadness
badly sadness;sadness
bag trust;trust
baggage trust;trust
bake joy;joy
balance surprise;surprise
balance surprise;surprise
ball positive;positive
band fear;fear
bandage fear;fear
bane positive;positive
bang positive;positive
bank disgust;disgust
banker negative;negative
bankrupt fear;fear
bankrupt fear;fear
bankruptcy fear;fear
banter joy;joy
bar joy;joy
barber surprise;surprise
bare disgust;disgust
cage fear;fear
cake positive;positive
calculate trust;trust
calculation trust;trust
calendar surprise;surprise
calf positive;positive
call surprise;surprise
call surprise;surprise
callous surprise;surprise
calm joy;joy
camera anticipation;anticipation
camp surprise;surprise
camp surprise;surprise
campaign anticipation;anticipation
campus negative;negative
can positive;positive
can positive;positive
cancel negative;negative
cancer fear;fear
candid joy;joy
candidate surprise;surprise
candy positive;positive
cap positive;positive
capable positive;positive
word emotion;emotion
capacity positive;positive
capital surprise;surprise
capital surprise;surprise
captain trust;trust
capture trust;trust
car fear;fear
dad joy;joy
daily anticipation;anticipation
daily anticipation;anticipation
dam anger;anger
damage anger;anger
damage anger;anger
damages anger;anger
damp negative;negative
dance joy;joy
dance joy;joy
danger anger;anger
dangerous anger;anger
dare trust;trust
dare trust;trust
dark fear;fear
dark fear;fear
data postive;postive
date postive;postive
date anticipation;anticipation
daughter joy;joy
dawn positive;positive
day anticipation;anticipation
dead negative;negative
deaf negative;negative
deal trust;trust
deal trust;trust
deal trust;trust
dear joy;joy
dearth negative;negative
